Index,Date,Season,Year,Month,Holiday,Weekday,WorkingDay,Weather,Temp,ATemp,Humidity,WindSpeed,Casual,Registered,Count,,
1,1/1/2011,1,2011,1,0,6,0,2,14,18,80.6,10.7,331,654,985,,
2,1/2/2011,1,2011,1,0,7,0,2,15,18,69.6,16.7,131,670,801,,
3,1/3/2011,1,2011,1,0,1,1,1,8,9,43.7,16.6,120,1229,1349,,
4,1/4/2011,1,2011,1,0,2,1,1,8,11,59,10.7,108,1454,1562,,
5,1/5/2011,1,2011,1,0,3,1,1,9,11,43.7,12.5,82,1518,1600,,
6,1/6/2011,1,2011,1,0,4,1,1,8,12,51.8,6,88,1518,1606,,
7,1/7/2011,1,2011,1,0,5,1,2,8,10,49.9,11.3,148,1362,1510,,
8,1/8/2011,1,2011,1,0,6,0,2,7,8,53.6,17.9,68,891,959,,
9,1/9/2011,1,2011,1,0,7,0,1,6,6,43.4,24.3,54,768,822,,
10,1/10/2011,1,2011,1,0,1,1,1,6,8,48.3,15,41,1280,1321,,
11,1/11/2011,1,2011,1,0,2,1,2,7,10,68.6,8.2,43,1220,1263,,
12,1/12/2011,1,2011,1,0,3,1,1,7,8,60,20.4,25,1137,1162,,
13,1/13/2011,1,2011,1,0,4,1,1,7,8,47,20.2,38,1368,1406,,
14,1/14/2011,1,2011,1,0,5,1,1,7,9,53.8,8.5,54,1367,1421,,
15,1/15/2011,1,2011,1,0,6,0,2,10,12,49.9,10.6,222,1026,1248,,
16,1/16/2011,1,2011,1,0,7,0,1,9,12,48.4,12.6,251,953,1204,,
17,1/17/2011,1,2011,1,1,1,0,2,7,9,53.8,13,117,883,1000,,
18,1/18/2011,1,2011,1,0,2,1,2,9,12,86.2,9.8,9,674,683,,
19,1/19/2011,1,2011,1,0,3,1,2,12,15,74.2,14,78,1572,1650,,
20,1/20/2011,1,2011,1,0,4,1,2,11,13,53.8,13.1,83,1844,1927,,
21,1/21/2011,1,2011,1,0,5,1,1,7,8,45.7,23.7,75,1468,1543,,
22,1/22/2011,1,2011,1,0,6,0,1,2,4,40,11.5,93,888,981,,
23,1/23/2011,1,2011,1,0,7,0,1,4,5,43.7,16.5,150,836,986,,
24,1/24/2011,1,2011,1,0,1,1,1,4,6,49.2,10.6,86,1330,1416,,
25,1/25/2011,1,2011,1,0,2,1,2,9,12,61.7,8.7,186,1799,1985,,
26,1/26/2011,1,2011,1,0,3,1,3,9,10,86.3,19.7,34,472,506,,
27,1/27/2011,1,2011,1,0,4,1,1,8,11,68.8,7.6,15,416,431,,
28,1/28/2011,1,2011,1,0,5,1,2,8,11,79.3,8.3,38,1129,1167,,
29,1/29/2011,1,2011,1,0,6,0,1,8,11,65.2,9.7,123,975,1098,,
30,1/30/2011,1,2011,1,0,7,0,1,9,13,72.2,5,140,956,1096,,
31,1/31/2011,1,2011,1,0,1,1,2,7,9,60.4,12.5,42,1459,1501,,
32,2/1/2011,1,2011,2,0,2,1,2,8,12,83,3.6,47,1313,1360,,
33,2/2/2011,1,2011,2,0,3,1,2,11,13,77.5,17.7,72,1454,1526,,
34,2/3/2011,1,2011,2,0,4,1,1,8,9,43.8,18.6,61,1489,1550,,
35,2/4/2011,1,2011,2,0,5,1,2,9,11,58.5,8.6,88,1620,1708,,
36,2/5/2011,1,2011,2,0,6,0,2,10,12,92.9,10.8,100,905,1005,,
37,2/6/2011,1,2011,2,0,7,0,1,12,15,56.8,9.5,354,1269,1623,,
38,2/7/2011,1,2011,2,0,1,1,1,11,15,73.8,3,120,1592,1712,,
39,2/8/2011,1,2011,2,0,2,1,1,9,10,53.8,24.3,64,1466,1530,,
40,2/9/2011,1,2011,2,0,3,1,2,6,7,49.5,12.7,53,1552,1605,,
41,2/10/2011,1,2011,2,0,4,1,1,6,7,43.7,14.9,47,1491,1538,,
42,2/11/2011,1,2011,2,0,5,1,1,8,11,50.6,7.3,149,1597,1746,,
43,2/12/2011,1,2011,2,0,6,0,1,9,12,54.4,13.6,288,1184,1472,,
44,2/13/2011,1,2011,2,0,7,0,1,13,16,45.7,17.5,397,1192,1589,,
45,2/14/2011,1,2011,2,0,1,1,1,17,20,37.6,28,208,1705,1913,,
46,2/15/2011,1,2011,2,0,2,1,1,11,13,31.4,19.5,140,1675,1815,,
47,2/16/2011,1,2011,2,0,3,1,1,13,16,42.3,16.9,218,1897,2115,,
48,2/17/2011,1,2011,2,0,4,1,1,18,21,50.5,15.4,259,2216,2475,,
49,2/18/2011,1,2011,2,0,5,1,1,21,26,51.7,17.7,579,2348,2927,,
50,2/19/2011,1,2011,2,0,6,0,1,16,20,18.8,34,532,1103,1635,,
51,2/20/2011,1,2011,2,0,7,0,1,12,14,40.8,15,639,1173,1812,,
52,2/21/2011,1,2011,2,1,1,0,2,12,14,60.5,20.6,195,912,1107,,
53,2/22/2011,1,2011,2,0,2,1,1,7,9,57.8,13.1,74,1376,1450,,
54,2/23/2011,1,2011,2,0,3,1,1,9,12,42.3,6.3,139,1778,1917,,
55,2/24/2011,1,2011,2,0,4,1,2,12,14,69.7,16.8,100,1707,1807,,
56,2/25/2011,1,2011,2,0,5,1,2,15,18,71.2,23.2,120,1341,1461,,
57,2/26/2011,1,2011,2,0,6,0,1,12,14,53.8,12.5,424,1545,1969,,
58,2/27/2011,1,2011,2,0,7,0,1,14,18,68,8.4,694,1708,2402,,
59,2/28/2011,1,2011,2,0,1,1,2,17,20,87.6,19.4,81,1365,1446,,
60,3/1/2011,1,2011,3,0,2,1,1,11,13,53.5,14.5,137,1714,1851,,
61,3/2/2011,1,2011,3,0,3,1,1,14,16,45,20.6,231,1903,2134,,
62,3/3/2011,1,2011,3,0,4,1,1,8,10,31.8,15.1,123,1562,1685,,
63,3/4/2011,1,2011,3,0,5,1,2,11,13,61,13.6,214,1730,1944,,
64,3/5/2011,1,2011,3,0,6,0,2,16,19,78.9,16.9,640,1437,2077,,
65,3/6/2011,1,2011,3,0,7,0,2,15,18,94.8,23,114,491,605,,
66,3/7/2011,1,2011,3,0,1,1,1,11,12,55.1,22.9,244,1628,1872,,
67,3/8/2011,1,2011,3,0,2,1,1,12,15,42.1,8.1,316,1817,2133,,
68,3/9/2011,1,2011,3,0,3,1,2,12,14,77.5,14.8,191,1700,1891,,
69,3/10/2011,1,2011,3,0,4,1,3,16,19,0,17.5,46,577,623,,
70,3/11/2011,1,2011,3,0,5,1,2,13,15,65,15.6,247,1730,1977,,
71,3/12/2011,1,2011,3,0,6,0,1,13,16,59.5,14.8,724,1408,2132,,
72,3/13/2011,1,2011,3,0,7,0,1,16,19,52.7,18.1,982,1435,2417,,
73,3/14/2011,1,2011,3,0,1,1,1,13,17,49.7,9.2,359,1687,2046,,
74,3/15/2011,1,2011,3,0,2,1,2,13,16,65.6,12.3,289,1767,2056,,
75,3/16/2011,1,2011,3,0,3,1,2,15,18,77.7,13.6,321,1871,2192,,
76,3/17/2011,1,2011,3,0,4,1,1,17,21,60.3,14,424,2320,2744,,
77,3/18/2011,1,2011,3,0,5,1,1,22,26,52.5,15.5,884,2355,3239,,
78,3/19/2011,1,2011,3,0,6,0,1,19,23,37.9,24.7,1424,1693,3117,,
79,3/20/2011,1,2011,3,0,7,0,1,14,16,47.4,13.9,1047,1424,2471,,
80,3/21/2011,2,2011,3,0,1,1,2,18,20,73.7,19.3,401,1676,2077,,
81,3/22/2011,2,2011,3,0,2,1,1,18,22,62.5,15.1,460,2243,2703,,
82,3/23/2011,2,2011,3,0,3,1,2,14,17,84,15.7,203,1918,2121,,
83,3/24/2011,2,2011,3,0,4,1,2,12,14,80.6,16.3,166,1699,1865,,
84,3/25/2011,2,2011,3,0,5,1,1,11,13,49.5,15.5,300,1910,2210,,
85,3/26/2011,2,2011,3,0,6,0,1,11,13,39.4,14,981,1515,2496,,
86,3/27/2011,2,2011,3,0,7,0,2,10,13,49.4,12.3,472,1221,1693,,
87,3/28/2011,2,2011,3,0,1,1,1,11,13,30.2,14.2,222,1806,2028,,
88,3/29/2011,2,2011,3,0,2,1,1,12,15,31.4,15.2,317,2108,2425,,
89,3/30/2011,2,2011,3,0,3,1,2,12,15,64.7,11.6,168,1368,1536,,
90,3/31/2011,2,2011,3,0,4,1,3,11,13,91.8,14.6,179,1506,1685,,
91,4/1/2011,2,2011,4,0,5,1,2,12,14,68.6,17.3,307,1920,2227,,
92,4/2/2011,2,2011,4,0,6,0,2,13,16,65.4,13.2,898,1354,2252,,
93,4/3/2011,2,2011,4,0,7,0,1,16,19,48,12.2,1651,1598,3249,,
94,4/4/2011,2,2011,4,0,1,1,1,24,27,42.6,25.8,734,2381,3115,,
95,4/5/2011,2,2011,4,0,2,1,2,17,20,64.2,26,167,1628,1795,,
96,4/6/2011,2,2011,4,0,3,1,1,16,19,47.1,17.6,413,2395,2808,,
97,4/7/2011,2,2011,4,0,4,1,1,18,22,60.3,10.9,571,2570,3141,,
98,4/8/2011,2,2011,4,0,5,1,2,14,16,83.6,15.2,172,1299,1471,,
99,4/9/2011,2,2011,4,0,6,0,2,14,17,87.8,8.9,879,1576,2455,,
100,4/10/2011,2,2011,4,0,7,0,2,17,21,85.8,9.8,1188,1707,2895,,
101,4/11/2011,2,2011,4,0,1,1,2,24,28,71.7,21.7,855,2493,3348,,
102,4/12/2011,2,2011,4,0,2,1,2,21,25,73.9,18.4,257,1777,2034,,
103,4/13/2011,2,2011,4,0,3,1,2,17,21,81.9,16.8,209,1953,2162,,
104,4/14/2011,2,2011,4,0,4,1,1,19,23,54,7.4,529,2738,3267,,
105,4/15/2011,2,2011,4,1,5,0,1,18,22,67.1,15.2,642,2484,3126,,
106,4/16/2011,2,2011,4,0,6,0,3,18,21,88.8,22.8,121,674,795,,
107,4/17/2011,2,2011,4,0,7,0,1,19,22,48,20.3,1558,2186,3744,,
108,4/18/2011,2,2011,4,0,1,1,1,21,25,54.3,11,669,2760,3429,,
109,4/19/2011,2,2011,4,0,2,1,2,21,24,66.6,10.6,409,2795,3204,,
110,4/20/2011,2,2011,4,0,3,1,1,24,28,61.4,16.2,613,3331,3944,,
111,4/21/2011,2,2011,4,0,4,1,1,19,23,40.7,21.8,745,3444,4189,,
112,4/22/2011,2,2011,4,0,5,1,2,14,16,73,14.7,177,1506,1683,,
113,4/23/2011,2,2011,4,0,6,0,2,19,23,88.8,15.5,1462,2574,4036,,
114,4/24/2011,2,2011,4,0,7,0,2,24,28,81.1,12.9,1710,2481,4191,,
115,4/25/2011,2,2011,4,0,1,1,1,25,29,77.7,12.4,773,3300,4073,,
116,4/26/2011,2,2011,4,0,2,1,1,26,30,72.9,21.9,678,3722,4400,,
117,4/27/2011,2,2011,4,0,3,1,2,25,29,83.5,20.9,547,3325,3872,,
118,4/28/2011,2,2011,4,0,4,1,2,25,29,70.1,21.5,569,3489,4058,,
119,4/29/2011,2,2011,4,0,5,1,1,21,25,45.7,16.1,878,3717,4595,,
120,4/30/2011,2,2011,4,0,6,0,1,19,23,50.3,15.8,1965,3347,5312,,
121,5/1/2011,2,2011,5,0,7,0,2,19,22,76.2,7.1,1138,2213,3351,,
122,5/2/2011,2,2011,5,0,1,1,2,23,27,73,12.3,847,3554,4401,,
123,5/3/2011,2,2011,5,0,2,1,2,25,29,69.7,23,603,3848,4451,,
124,5/4/2011,2,2011,5,0,3,1,2,17,20,73.7,22,255,2378,2633,,
125,5/5/2011,2,2011,5,0,4,1,1,19,22,44.4,19.8,614,3819,4433,,
126,5/6/2011,2,2011,5,0,5,1,1,20,24,59,15.3,894,3714,4608,,
127,5/7/2011,2,2011,5,0,6,0,1,21,26,54.1,10.8,1612,3102,4714,,
128,5/8/2011,2,2011,5,0,7,0,1,22,26,63.2,5,1401,2932,4333,,
129,5/9/2011,2,2011,5,0,1,1,1,22,26,58.9,11.8,664,3698,4362,,
130,5/10/2011,2,2011,5,0,2,1,1,22,26,48.9,7.7,694,4109,4803,,
131,5/11/2011,2,2011,5,0,3,1,1,22,26,63.3,8.1,550,3632,4182,,
132,5/12/2011,2,2011,5,0,4,1,1,22,26,74.8,12.7,695,4169,4864,,
133,5/13/2011,2,2011,5,0,5,1,2,21,25,86.3,12,692,3413,4105,,
134,5/14/2011,2,2011,5,0,6,0,2,21,25,92.3,9,902,2507,3409,,
135,5/15/2011,2,2011,5,0,7,0,2,23,27,86.7,10.2,1582,2971,4553,,
136,5/16/2011,2,2011,5,0,1,1,1,24,28,78.8,8.5,773,3185,3958,,
137,5/17/2011,2,2011,5,0,2,1,2,23,27,83.8,18.6,678,3445,4123,,
138,5/18/2011,2,2011,5,0,3,1,2,23,26,87,13.5,536,3319,3855,,
139,5/19/2011,2,2011,5,0,4,1,2,22,26,83,7.3,735,3840,4575,,
140,5/20/2011,2,2011,5,0,5,1,1,22,26,72,8.4,909,4008,4917,,
141,5/21/2011,2,2011,5,0,6,0,1,25,29,62.7,8.1,2258,3547,5805,,
142,5/22/2011,2,2011,5,0,7,0,1,25,29,75,9.9,1576,3084,4660,,
143,5/23/2011,2,2011,5,0,1,1,2,26,30,81,15.7,836,3438,4274,,
144,5/24/2011,2,2011,5,0,2,1,2,27,30,74.1,13.9,659,3833,4492,,
145,5/25/2011,2,2011,5,0,3,1,1,27,31,69.6,10.3,740,4238,4978,,
146,5/26/2011,2,2011,5,0,4,1,1,29,33,67.8,13.4,758,3919,4677,,
147,5/27/2011,2,2011,5,0,5,1,1,28,32,65.4,16.1,871,3808,4679,,
148,5/28/2011,2,2011,5,0,6,0,1,27,31,73,15.4,2001,2757,4758,,
149,5/29/2011,2,2011,5,0,7,0,1,27,31,81.9,14.3,2355,2433,4788,,
150,5/30/2011,2,2011,5,1,1,0,1,30,34,68.5,8.8,1549,2549,4098,,
151,5/31/2011,2,2011,5,0,2,1,1,32,36,63.7,7.5,673,3309,3982,,
152,6/1/2011,2,2011,6,0,3,1,2,31,36,67.7,13.9,513,3461,3974,,
153,6/2/2011,2,2011,6,0,4,1,1,29,32,30.5,19.6,736,4232,4968,,
154,6/3/2011,2,2011,6,0,5,1,1,25,29,35.4,17,898,4414,5312,,
155,6/4/2011,2,2011,6,0,6,0,1,26,30,45.6,8.3,1869,3473,5342,,
156,6/5/2011,2,2011,6,0,7,0,2,27,31,65.3,9.3,1685,3221,4906,,
157,6/6/2011,2,2011,6,0,1,1,1,28,31,60,8.2,673,3875,4548,,
158,6/7/2011,2,2011,6,0,2,1,1,29,33,59.8,12.6,763,4070,4833,,
159,6/8/2011,2,2011,6,0,3,1,1,32,36,62.2,9.2,676,3725,4401,,
160,6/9/2011,2,2011,6,0,4,1,2,33,38,56.8,10,563,3352,3915,,
161,6/10/2011,2,2011,6,0,5,1,1,31,35,60.5,9.4,815,3771,4586,,
162,6/11/2011,2,2011,6,0,6,0,1,30,34,65.5,10.4,1729,3237,4966,,
163,6/12/2011,2,2011,6,0,7,0,1,28,32,74.8,11,1467,2993,4460,,
164,6/13/2011,2,2011,6,0,1,1,1,26,30,49.5,20.5,863,4157,5020,,
165,6/14/2011,2,2011,6,0,2,1,1,25,30,50.7,18,727,4164,4891,,
166,6/15/2011,2,2011,6,0,3,1,1,26,29,47.2,11.3,769,4411,5180,,
167,6/16/2011,2,2011,6,0,4,1,2,26,30,68.8,13.8,545,3222,3767,,
168,6/17/2011,2,2011,6,0,5,1,1,27,30,73.6,9.6,863,3981,4844,,
169,6/18/2011,2,2011,6,0,6,0,1,29,32,67,8,1807,3312,5119,,
170,6/19/2011,2,2011,6,0,7,0,2,29,32,66.7,6.8,1639,3105,4744,,
171,6/20/2011,2,2011,6,0,1,1,2,26,30,74.6,10.4,699,3311,4010,,
172,6/21/2011,3,2011,6,0,2,1,2,28,32,77,11.5,774,4061,4835,,
173,6/22/2011,3,2011,6,0,3,1,1,30,35,70.8,11.5,661,3846,4507,,
174,6/23/2011,3,2011,6,0,4,1,2,30,35,70.3,16,746,4044,4790,,
175,6/24/2011,3,2011,6,0,5,1,1,30,33,57.3,14.9,969,4022,4991,,
176,6/25/2011,3,2011,6,0,6,0,1,28,32,48.3,14,1782,3420,5202,,
177,6/26/2011,3,2011,6,0,7,0,1,28,32,51.3,6.3,1920,3385,5305,,
178,6/27/2011,3,2011,6,0,1,1,2,28,32,65.8,7.2,854,3854,4708,,
179,6/28/2011,3,2011,6,0,2,1,1,31,35,63.4,9.7,732,3916,4648,,
180,6/29/2011,3,2011,6,0,3,1,1,30,33,49.8,17.5,848,4377,5225,,
181,6/30/2011,3,2011,6,0,4,1,1,29,32,43.4,12.4,1027,4488,5515,,
182,7/1/2011,3,2011,7,0,5,1,1,30,33,39.6,6.9,1246,4116,5362,,
183,7/2/2011,3,2011,7,0,6,0,1,30,33,44.5,7.7,2204,2915,5119,,
184,7/3/2011,3,2011,7,0,7,0,2,29,33,68.3,15.3,2282,2367,4649,,
185,7/4/2011,3,2011,7,1,1,0,2,30,33,63.8,5.5,3065,2978,6043,,
186,7/5/2011,3,2011,7,0,2,1,1,31,35,59,8.5,1031,3634,4665,,
187,7/6/2011,3,2011,7,0,3,1,1,30,34,74.3,10,784,3845,4629,,
188,7/7/2011,3,2011,7,0,4,1,1,31,34,65.1,10.7,754,3838,4592,,
189,7/8/2011,3,2011,7,0,5,1,2,29,34,75.8,15.1,692,3348,4040,,
190,7/9/2011,3,2011,7,0,6,0,1,30,33,60.9,11.3,1988,3348,5336,,
191,7/10/2011,3,2011,7,0,7,0,1,31,35,57.8,12.3,1743,3138,4881,,
192,7/11/2011,3,2011,7,0,1,1,1,31,36,63.6,18.9,723,3363,4086,,
193,7/12/2011,3,2011,7,0,2,1,1,33,37,55.9,13.4,662,3596,4258,,
194,7/13/2011,3,2011,7,0,3,1,1,31,34,63.2,9.8,748,3594,4342,,
195,7/14/2011,3,2011,7,0,4,1,1,28,32,47.6,16.1,888,4196,5084,,
196,7/15/2011,3,2011,7,0,5,1,1,27,31,59.1,12.2,1318,4220,5538,,
197,7/16/2011,3,2011,7,0,6,0,1,28,32,58.5,14,2418,3505,5923,,
198,7/17/2011,3,2011,7,0,7,0,1,29,33,60.4,16.4,2006,3296,5302,,
199,7/18/2011,3,2011,7,0,1,1,1,31,35,65.1,14.5,841,3617,4458,,
200,7/19/2011,3,2011,7,0,2,1,1,32,37,65,8.8,752,3789,4541,,
201,7/20/2011,3,2011,7,0,3,1,1,32,37,70.7,7.6,644,3688,4332,,
202,7/21/2011,3,2011,7,0,4,1,2,33,41,69.1,14.9,632,3152,3784,,
203,7/22/2011,3,2011,7,0,5,1,1,35,42,58,8.9,562,2825,3387,,
204,7/23/2011,3,2011,7,0,6,0,1,35,40,50,8.8,987,2298,3285,,
205,7/24/2011,3,2011,7,0,7,0,1,34,40,55.1,11.3,1050,2556,3606,,
206,7/25/2011,3,2011,7,0,1,1,1,30,36,75.7,6.1,568,3272,3840,,
207,7/26/2011,3,2011,7,0,2,1,1,32,35,54.1,13.4,750,3840,4590,,
208,7/27/2011,3,2011,7,0,3,1,1,32,35,40.3,12.3,755,3901,4656,,
209,7/28/2011,3,2011,7,0,4,1,1,32,37,58.3,12,606,3784,4390,,
210,7/29/2011,3,2011,7,0,5,1,1,34,39,54.3,11.7,670,3176,3846,,
211,7/30/2011,3,2011,7,0,6,0,1,33,36,46.6,11.3,1559,2916,4475,,
